,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,features,label
47,5.7,3.0,4.2,1.2,Iris-versicolor,"[5.7,3.0,4.2,1.2]",1.0
48,5.7,3.8,1.7,0.3,Iris-setosa,"[5.7,3.8,1.7,0.3]",0.0
49,5.8,2.6,4.0,1.2,Iris-versicolor,"[5.8,2.6,4.0,1.2]",1.0
50,5.8,2.7,4.1,1.0,Iris-versicolor,"[5.8,2.7,4.1,1.0]",1.0
51,5.8,2.7,5.1,1.9,Iris-virginica,"[5.8,2.7,5.1,1.9]",2.0
52,5.8,2.7,5.1,1.9,Iris-virginica,"[5.8,2.7,5.1,1.9]",2.0
53,5.8,2.8,5.1,2.4,Iris-virginica,"[5.8,2.8,5.1,2.4]",2.0
54,5.8,4.0,1.2,0.2,Iris-setosa,"[5.8,4.0,1.2,0.2]",0.0
55,5.9,3.0,4.2,1.5,Iris-versicolor,"[5.9,3.0,4.2,1.5]",1.0
56,5.9,3.2,4.8,1.8,Iris-versicolor,"[5.9,3.2,4.8,1.8]",1.0
57,6.0,2.2,4.0,1.0,Iris-versicolor,"[6.0,2.2,4.0,1.0]",1.0
58,6.0,2.7,5.1,1.6,Iris-versicolor,"[6.0,2.7,5.1,1.6]",1.0
59,6.0,2.9,4.5,1.5,Iris-versicolor,"[6.0,2.9,4.5,1.5]",1.0
60,6.1,2.8,4.7,1.2,Iris-versicolor,"[6.1,2.8,4.7,1.2]",1.0
61,6.1,2.9,4.7,1.4,Iris-versicolor,"[6.1,2.9,4.7,1.4]",1.0
62,6.1,3.0,4.6,1.4,Iris-versicolor,"[6.1,3.0,4.6,1.4]",1.0
63,6.1,3.0,4.9,1.8,Iris-virginica,"[6.1,3.0,4.9,1.8]",2.0
64,6.2,2.2,4.5,1.5,Iris-versicolor,"[6.2,2.2,4.5,1.5]",1.0
65,6.2,2.8,4.8,1.8,Iris-virginica,"[6.2,2.8,4.8,1.8]",2.0
66,6.2,2.9,4.3,1.3,Iris-versicolor,"[6.2,2.9,4.3,1.3]",1.0
67,6.3,2.3,4.4,1.3,Iris-versicolor,"[6.3,2.3,4.4,1.3]",1.0
68,6.3,2.5,5.0,1.9,Iris-virginica,"[6.3,2.5,5.0,1.9]",2.0
69,6.3,2.7,4.9,1.8,Iris-virginica,"[6.3,2.7,4.9,1.8]",2.0
70,6.3,2.8,5.1,1.5,Iris-virginica,"[6.3,2.8,5.1,1.5]",2.0
71,6.3,3.3,4.7,1.6,Iris-versicolor,"[6.3,3.3,4.7,1.6]",1.0
72,6.3,3.3,6.0,2.5,Iris-virginica,"[6.3,3.3,6.0,2.5]",2.0
73,6.3,3.4,5.6,2.4,Iris-virginica,"[6.3,3.4,5.6,2.4]",2.0
74,6.4,2.7,5.3,1.9,Iris-virginica,"[6.4,2.7,5.3,1.9]",2.0
75,6.4,2.8,5.6,2.2,Iris-virginica,"[6.4,2.8,5.6,2.2]",2.0
76,6.4,3.1,5.5,1.8,Iris-virginica,"[6.4,3.1,5.5,1.8]",2.0
77,6.5,3.0,5.2,2.0,Iris-virginica,"[6.5,3.0,5.2,2.0]",2.0
78,6.5,3.2,5.1,2.0,Iris-virginica,"[6.5,3.2,5.1,2.0]",2.0
79,6.6,3.0,4.4,1.4,Iris-versicolor,"[6.6,3.0,4.4,1.4]",1.0
80,6.7,2.5,5.8,1.8,Iris-virginica,"[6.7,2.5,5.8,1.8]",2.0
81,6.7,3.0,5.0,1.7,Iris-versicolor,"[6.7,3.0,5.0,1.7]",1.0
82,6.7,3.0,5.2,2.3,Iris-virginica,"[6.7,3.0,5.2,2.3]",2.0
83,6.7,3.1,4.4,1.4,Iris-versicolor,"[6.7,3.1,4.4,1.4]",1.0
84,6.7,3.1,4.7,1.5,Iris-versicolor,"[6.7,3.1,4.7,1.5]",1.0
85,6.7,3.1,5.6,2.4,Iris-virginica,"[6.7,3.1,5.6,2.4]",2.0
86,6.8,2.8,4.8,1.4,Iris-versicolor,"[6.8,2.8,4.8,1.4]",1.0
87,6.8,3.0,5.5,2.1,Iris-virginica,"[6.8,3.0,5.5,2.1]",2.0
88,6.8,3.2,5.9,2.3,Iris-virginica,"[6.8,3.2,5.9,2.3]",2.0
89,6.9,3.1,4.9,1.5,Iris-versicolor,"[6.9,3.1,4.9,1.5]",1.0
90,6.9,3.1,5.1,2.3,Iris-virginica,"[6.9,3.1,5.1,2.3]",2.0
91,6.9,3.2,5.7,2.3,Iris-virginica,"[6.9,3.2,5.7,2.3]",2.0
92,7.0,3.2,4.7,1.4,Iris-versicolor,"[7.0,3.2,4.7,1.4]",1.0
93,7.1,3.0,5.9,2.1,Iris-virginica,"[7.1,3.0,5.9,2.1]",2.0
94,7.2,3.0,5.8,1.6,Iris-virginica,"[7.2,3.0,5.8,1.6]",2.0
95,7.2,3.2,6.0,1.8,Iris-virginica,"[7.2,3.2,6.0,1.8]",2.0
96,7.2,3.6,6.1,2.5,Iris-virginica,"[7.2,3.6,6.1,2.5]",2.0
97,7.3,2.9,6.3,1.8,Iris-virginica,"[7.3,2.9,6.3,1.8]",2.0
98,7.4,2.8,6.1,1.9,Iris-virginica,"[7.4,2.8,6.1,1.9]",2.0
99,7.6,3.0,6.6,2.1,Iris-virginica,"[7.6,3.0,6.6,2.1]",2.0
100,7.7,2.8,6.7,2.0,Iris-virginica,"[7.7,2.8,6.7,2.0]",2.0
101,7.7,3.8,6.7,2.2,Iris-virginica,"[7.7,3.8,6.7,2.2]",2.0
102,7.9,3.8,6.4,2.0,Iris-virginica,"[7.9,3.8,6.4,2.0]",2.0
